Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,,112406,--,130945102503103820110326119234,,,,--,120787 87873,,--,100646 88038,,--,111529 80440 95068 95680 154166168057162260168357212445173421,,,,,,,,,,
5,E005,R. V. College of Engineering,,Bangalore,,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AI Artificial,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
BT Bio Technology,,19438,--,--,12939 23528 25716,,--,--,--,13673,--,--,12721,--,--,4654,--,11936 33962,,--,61454 23027,,--,--,
"CA CS (AI, Machine",,1387,--,--,1341,--,1348,2133,--,--,945,--,--,1098,--,1780,532,2072,1344,8287,9060,9040,11704,--,12387
Learning),,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,,27080,--,--,28348,--,34312 12999,--,--,--,--,--,17427 35937,,--,11408,--,25673 34913,,--,42558 61968,,--,--,
CH Chemical,,--,57365,--,16779,--,--,30556,--,43596 12855,--,--,--,--,--,8603,--,11727 32547,,--,--,36539,--,--,
CS Computers,,636,--,3282,938,3982,1009,1068,--,--,563,--,941,786,--,933,292,1119,894,4155,4849,6453,5499,13393,7087
CY CS- Cyber,,1652,--,--,1882,--,--,2156,25997,--,1681,--,--,1234,--,--,607,--,1716,9715,--,18988 12428,--,13136,
Security,,,,,,,,,,,,,,,,,,,,,,,,,
DS Comp. Sc. Engg-,,1566,--,--,1598,--,2016,2077,--,--,1179,--,--,1116,--,--,405,5012,1523,7857,--,13385 10267,--,--,
Data Sc.,,,,,,,,,,,,,,,,,,,,,,,,,
EC Electronics,,2679,--,--,2613,5856,3860,3506,--,6095,1968,--,3592,1852,--,4236,750,4000,3185,14736 25618 16400 20911 56231 22668,,,,,
,,,,,,ENGINEERING CUTOFF RANK OF CET-2024 - MOCK,,,,,,,ALLOTMENT ( GENERAL ),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,25-AUG-24 05:02 PM,,,,,
5,E005,R. V. College of Engineering,,Bangalore,,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
EE Electrical,,7711,--,14418,8814,--,--,9045,--,--,5643,--,7154,3455,--,--,1105,12269,5851,23009,--,--,23041,--,--
EI Elec. Inst.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Engg,,,,,,,,,,,,,,,,,,,,,,,,,
ET Elec.,,5309,--,33259,5769,--,12097 12805,--,--,3417,29054,--,4303,--,--,1377,--,8330,30853,--,--,28258,--,--,
Telecommn. Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,1499,--,--,1392,5079,1653,1301,--,--,946,--,--,1090,--,1398,489,1688,1397,8385,18206,9460,9647,--,12532
IM Ind. Engg.,,26134,--,--,33510,--,49727 28395,--,--,17328,--,--,25090,--,--,14231 28983 22617 61702,,,,--,103773 40868,,--,--,
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,,11574,--,--,15086,--,20191 13964,--,21456,6229,--,--,12340,--,--,3878,10826 15907 53262 55420 69919 62345,,,,,,--,81804,
SE Aero Space,,8775,--,--,5295,--,6852,6919,--,--,2444,--,--,5085,--,--,1809,10915,3792,22916,--,60164 17281,--,--,
Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
6,E006,M S Ramaiah Institute of Technology,,,,Bangalore,,,,,,,,,,,,,,,,,,,
