,,,,,,ENGINEERING CUTOFF RANK OF CET-2023 - 1st ROUND ALLOTMENT ( GENERAL ),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,17-AUG-23 08:44 PM,,,,,
1,E001,University of Visvesvaraya College of Engineering,,,,,,Bangalore ( PUBLIC UNIV. ),,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AI Artificial,,9507,18087,--,6191,--,9519,9240,--,--,4810,--,--,5160,--,--,4257,7979,6198,26148,--,33645 24190,--,28919,
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,,87651,--,96284 77746 83360 96248 80402,,,,--,105256 61486,,--,80200 67191 86716 82164 54199 64156 68346 89571 90786 98119 104430,,,,,,,,,,,--,105733,
CS Computers,,4711,--,--,4503,7296,5693,4589,--,7166,2769,--,4674,2889,--,4709,2381,3599,4590,16022 17797 18002 14085 16438 20958,,,,,
EC Electronics,,15177,--,18548,9878,15407 11817 14932,,--,--,7229,19840 11206,,7649,--,10785,6878,10960 10726 33384 46591 40719 29072,,,,,,--,30200,
EE Electrical,,27073,--,54121 27069 32204 43255 38348 50948 89610 21517,,,,,,,--,--,22779,--,31736 17701 28703 31268 60859 73849 74966 64153,,,,,,,,--,72997,
IE Info.Science,,8475,--,--,5718,--,7313,8098,--,--,3566,--,--,4122,--,--,3453,7193,5695,24191 31375 31745 23218,,,--,24028,
ME Mechanical,,78384,--,84665 78536 86868 88362 86388,,,,--,138054 58156,,--,82171 66106 77671 80740 50201 74224 75314 136712180526198556140649188634153671,,,,,,,,,,,,,
2,E002,S K S J T Institute of Engineering.,,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,107340,--,--,103278,--,110030 98497,--,--,92314,--,--,95051,--,103463 92293 92655 101907109723,,,,,--,123965121341145114131157,,,,
CS Computers,,13400,--,--,14868 18219 16172 16582,,,--,--,12362,--,--,11775,--,13421 11659 12468 12912 29566 36626 38255 26429,,,,,,,,--,36547,
EC Electronics,,34683,--,38914 28615 36985 30430 37556,,,,--,--,26021,--,32410 25329,,--,--,24842 28303 29803 57612 58040 58499 81627,,,,,,,--,--,
ST Silk Tech.,,164052,--,--,142074,--,170902145685,--,--,--,--,--,--,--,--,123325157732128490149441,,,,--,180147169092,,--,--,
TX Textiles,,170394,--,--,176121,--,--,164403,--,--,164394192913,--,173683,--,--,147111150705172094199729,,,,--,--,199981,--,--,
3,E003,B M S College of Engineering,,"Basavanagudi,Bangalore",,,,,,,,,,,,,,,,,,,,,
