5,E005,R. V. College of Engineering,,Bangalore,,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AI Artificial,,1191,--,--,1310,--,6568,2928,--,--,950,--,--,1051,--,--,336,1408,1011,6104,--,9716,--,--,--
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
BT Bio Technology,,6727,29211 67846,7044,--,--,--,--,--,7399,--,--,5296,--,--,4914,--,9268,13054,--,--,13512,--,29891,
CE Civil,,28556,--,--,35882 67894 38796 36918,,,--,53493 22092,,--,--,31098,--,34548 20624 27388 22969 47091,,,,,--,47249 25605,,--,--,
CH Chemical,,14432,--,--,18708,--,--,--,--,--,--,80641,--,--,--,--,9725,--,18086 34522,--,--,27307,--,106591,
CS Computers,,782,--,1283,823,1162,1684,530,--,--,525,--,633,437,--,606,158,423,436,2586,11088,3298,969,--,--
CY CS- Cyber,,1109,--,--,1806,--,1814,5253,18303,--,--,--,--,958,--,--,368,--,1308,5329,--,13841,3334,--,--
Security,,,,,,,,,,,,,,,,,,,,,,,,,
DS Comp. Sc. Engg-,,--,--,--,1089,--,--,3356,--,--,567,--,1778,832,--,--,287,1300,700,6285,30937,--,3427,--,--
Data Sc.,,,,,,,,,,,,,,,,,,,,,,,,,
EC Electronics,,1641,--,--,2672,4753,3411,5529,--,12184,1565,--,--,1895,--,2806,776,4122,2643,8915,20724 13796,4550,--,9056,
EE Electrical,,--,--,6341,8378,--,--,7072,--,49502,6543,--,--,5049,--,--,2095,6890,6056,18500 31318,--,10385,--,--,
EI Elec. Inst.,,11275,--,--,11357,--,--,11962,--,--,5740,--,21131,9081,--,--,4347,--,12507 35448,--,--,--,57930,--,
Engg,,,,,,,,,,,,,,,,,,,,,,,,,
ET Elec.,,6188,--,--,8026,--,11030 11946,--,--,6477,--,--,4035,--,--,2795,33321,7992,37001,--,51489,--,--,--,
